total_index,repo_id,repo_name,owner_id,owner_type,full_name,create_date,update_date,topics,language,contributors,contributor_counts,stargazer_counts,forker_counts,keyword,readme_url,read_length,is_it_forked_repo,open_issues,original_repo
433,80429896,open-simulation-interface,25307975,organization,OpenSimulationInterface/open-simulation-interface,2017-01-30 14:44,2021-03-25 2:07,,Python,"['11943343', '91502', '32508295', '161041', '23055654', '14346967', '25342723', '43751290', '26384662', '54800827', '25367407', '26384691', '43201393', '23631275', '948359', '25529875', '25302251', '72925285', '44769837', '46522266', '26324188', '9927594', '37303264', '73302380', '14274473', '68024', '26961302', '2054182', '813076', '8984605', '62103539', '6155184', '12594326', '50795453', '27090588', '4344566', '43961508', '25342898', '20393110', '26794482']",40,168,78,automated-driving,https://github.com/OpenSimulationInterface/open-simulation-interface,5139.0,False,103,
479,80721104,docker-headless-shell,33149672,organization,chromedp/docker-headless-shell,2017-02-02 12:03,2021-03-26 5:12,docker#chrome#chrome-headless,Shell,"['2274859', '411913', '13451015', '3576549', '1916739']",5,275,42,automated-driving,https://github.com/chromedp/docker-headless-shell,4138.0,False,0,
488,80849878,Swifast-Website-1.0,10501760,organization,FIU-SCIS-Senior-Projects/Swifast-Website-1.0,2017-02-03 17:02,2017-04-20 0:50,,CSS,"['25460870', '19613541', '7688927']",3,0,1,driverless,https://github.com/FIU-SCIS-Senior-Projects/Swifast-Website-1.0,1934.0,False,0,
558,81283552,self-driving-car-sim,1916665,organization,udacity/self-driving-car-sim,2017-02-08 3:31,2021-03-25 23:22,,C#,"['14296202', '21979084', '509595', '4316306', '21322483', '6267447']",6,3394,1324,self-driving,https://github.com/udacity/self-driving-car-sim,3972.0,False,55,
620,81621955,autonomousCar,25698614,organization,masterMakers/autonomousCar,2017-02-11 1:21,2017-04-02 21:33,,HTML,"['24486909', '6080549', '25015836']",3,0,1,autonomous-car,https://github.com/masterMakers/autonomousCar,16.0,False,0,
622,81623043,maze-robot,9203485,organization,BarnabasRobotics/maze-robot,2017-02-11 1:44,2017-02-25 15:04,robotics#arduino#bluetooth#autonomous-car#learning,Arduino,"['25803511', '9203475']",2,0,1,autonomous-car,https://github.com/BarnabasRobotics/maze-robot,3569.0,False,2,
658,81972629,CarND-Extended-Kalman-Filter-Project,1916665,organization,udacity/CarND-Extended-Kalman-Filter-Project,2017-02-14 17:47,2021-02-24 3:01,,C++,"['5186335', '183481', '14296202', '4804880', '21979084', '4316306', '184773', '4110995', '10603265', '13449160', '1907223', '6289523', '3814422', '2075635', '997786', '9119311', '3187598', '6564894', '2343358', '10260895', '18709556', '5033732', '1871474']",23,248,1508,self-driving,https://github.com/udacity/CarND-Extended-Kalman-Filter-Project,5859.0,False,6,
659,81971101,CarND-Unscented-Kalman-Filter-Project,1916665,organization,udacity/CarND-Unscented-Kalman-Filter-Project,2017-02-14 17:28,2021-03-23 9:19,,C++,"['4804880', '4316306', '14296202', '21979084', '5186335', '1907223', '6289523', '25861655', '6564894', '2630323']",10,96,1055,self-driving,https://github.com/udacity/CarND-Unscented-Kalman-Filter-Project,3992.0,False,0,
672,81887991,AirSim,6154722,organization,microsoft/AirSim,2017-02-14 0:52,2021-03-26 11:21,drones#ai#self-driving-car#autonomous-vehicles#autonomous-quadcoptor#research#computer-vision#artificial-intelligence#deeplearning#deep-reinforcement-learning#control-systems#pixhawk#cross-platform#platform-independent#airsim#unreal-engine#simulator,C++,"['2096835', '18707114', '6305323', '37938604', '2274262', '4614600', '19666890', '5205889', '1215497', '49626509', '25788178', '3336415', '5033091', '281593', '3837766', '13874231', '32399587', '2834638', '17389739', '15692115', '5885946', '36086921', '8214460', '27964919', '527551', '45649338', '29686866', '4391738', '13679781', '39198993', '13294013', '38044495', '3429513', '6267744', '10365427', '13474696', '8720333', '19175003', '6217407', '11256769', '42635832', '1159718', '7292257', '2012302', '32525653', '3934603', '9121531', '39780523', '20287427', '4748411', '46974588', '826160', '9085086', '7135944', '1128418', '7313603', '22527892', '32241854', '26722429', '11509917', '373230', '1149213', '41171333', '28758681', '17588023', '14137676', '6036318', '4633834', '72693627', '6623823', '10674081', '19893595', '189079', '1645032', '10216145', '6490', '19725851', '14925965', '23171985', '31830722', '22404638', '3197708', '10829797', '9270934', '42508662', '28006381', '17710818', '514188', '3373421', '4430620', '164396', '9354770', '38339', '8049221', '11466676', '8028436', '2272565', '2017051', '5368500', '21280671', '19269261', '1340268', '11253', '5030127', '8616975', '37773620', '598968', '4188529', '2657068', '23667720', '642275', '1034087', '5633223', '140166', '511568', '9328564', '31655488', '24885159', '26205298', '14265408', '40467085', '29493290', '47087620', '19256716', '231351', '55561403', '8917477', '5595336', '30138433', '11408325', '58754787', '22307946', '5048656', '749277', '23201610', '5497832', '2954572', '23381', '22573859', '5087930', '22099193', '5106205', '67428553', '28727119', '15960497', '14892311', '19793511', '67123363', '12876678', '38940464', '224996', '11857441', '7096595', '48796957', '27238028', '16775438', '11992500', '17384901', '6947881', '36728079', '92162', '43674291', '56285938', '44672083', '16448467', '29434082', '16010828', '45145954', '8529270']",169,11464,3149,autonomous-vehicle,https://github.com/microsoft/AirSim,7972.0,False,566,
798,82588886,self-driving-car-sim,27147815,organization,teamsoulless/self-driving-car-sim,2017-02-20 18:24,2019-06-20 18:25,,C#,"['14296202', '509595', '19783405', '21322483']",4,7,1,self-driving,https://github.com/teamsoulless/self-driving-car-sim,3145.0,False,0,
890,82842150,bstld,1849103,organization,bosch-ros-pkg/bstld,2017-02-22 19:05,2021-03-03 6:26,computer-vision#machine-learning#deep-learning#automated-driving,Python,"['4582144', '6087928', '3834295']",3,115,47,automated-driving,https://github.com/bosch-ros-pkg/bstld,2906.0,False,1,
920,82945828,Houston,24942489,organization,squaresLab/Houston,2017-02-23 16:16,2020-01-13 16:33,testing#robotic-systems#houston#test-generation,Python,"['523560', '19697071', '10759791']",3,4,3,autonomous-vehicle,https://github.com/squaresLab/Houston,1458.0,False,56,
1079,83999279,robotics_library_8514,25675135,organization,BAHSRobotics/robotics_library_8514,2017-03-05 20:17,2017-11-17 15:46,ftc-robot-controller#ftc#ftc-sdk,Java,"['22583784', '25675284']",2,1,0,autonomous-drive,https://github.com/BAHSRobotics/robotics_library_8514,1525.0,False,0,
1101,84363886,Aerius,26228476,organization,TUM-AERIUS/Aerius,2017-03-08 20:37,2018-05-07 12:03,,Python,"['12359383', '23174118', '23118541', '2010842', '3084968', '16691770', '8666527']",7,6,1,self-driving,https://github.com/TUM-AERIUS/Aerius,311.0,False,11,
1155,84682996,selfie-archive-cc-iarrc2018,44262465,organization,KNR-Selfie/selfie-archive-cc-iarrc2018,2017-03-11 22:08,2021-01-02 23:05,rpi#opencv#jetson#autonomous-car#stm32#odroid#freertos#bluetooth,C++,"['26671541', '49153242', '22551617', '16782493', '26739110', '33980899', '26235329', '26725142', '26235512']",9,15,17,autonomous-car,https://github.com/KNR-Selfie/selfie-archive-cc-iarrc2018,1879.0,False,0,
1165,84758868,MNIST,13174029,organization,ADSA-UIUC/MNIST,2017-03-12 21:31,2019-05-18 16:44,,Jupyter Notebook,"['8813854', '8838629']",2,0,0,self-driving,https://github.com/ADSA-UIUC/MNIST,,False,0,
1224,85095037,autonomous-snake-patrol,26467226,organization,xanomaly/autonomous-snake-patrol,2017-03-15 16:20,2018-09-26 5:16,uav#autonomous-quadcoptor#computer-vision#artificial-intelligence#deep-learning#sensor-fusion#control-systems#robotics,Matlab,"['24209750', '26467156']",2,3,1,autonomous-vehicle,https://github.com/xanomaly/autonomous-snake-patrol,1624.0,False,0,
1468,86336605,racing_car,26714628,organization,PeskyBee/racing_car,2017-03-27 13:08,2020-01-13 22:42,arduino#rc-car,C++,"['5836188', '4903895']",2,2,3,self-driving,https://github.com/PeskyBee/racing_car,2178.0,False,2,
1588,86962788,TargetClassifier,22233220,organization,AZAutonomous/TargetClassifier,2017-04-02 4:26,2020-10-05 16:00,,Python,"['9476191', '23140950']",2,3,0,autonomous-vehicle,https://github.com/AZAutonomous/TargetClassifier,5911.0,False,1,
1845,88612182,dolphin,36760712,organization,DolphinDSL/dolphin,2017-04-18 10:23,2020-11-06 6:14,dsl#autonomous-vehicles#groovy#java#dolphin#imc#mavlink,Java,"['1699245', '22734455', '49699333']",3,2,1,autonomous-vehicle,https://github.com/DolphinDSL/dolphin,522.0,False,6,
2249,91200825,JARVIS,28677936,organization,The-Browning-Knight/JARVIS,2017-05-13 20:24,2017-05-27 1:09,,Python,"['15162610', '11526627', '28677252']",3,0,0,self-driving,https://github.com/The-Browning-Knight/JARVIS,1996.0,False,0,
2385,92191124,avdex,28166959,organization,blockchain-mobility-ecosystem/avdex,2017-05-23 15:45,2020-04-30 7:55,,JavaScript,"['134680', '2758453']",2,13,4,autonomous-vehicle,https://github.com/blockchain-mobility-ecosystem/avdex,1223.0,False,1,
2562,93097018,gravl,8170622,organization,olinrobotics/gravl,2017-06-01 20:32,2021-01-23 7:58,,C,"['29216056', '16887844', '15042288', '31555340', '16494456', '8249360', '17169967', '8334837', '16909430']",9,15,8,autonomous-vehicle,https://github.com/olinrobotics/gravl,1106.0,False,28,
2584,93182427,rticonnextdds-usecases-automotive,3244894,organization,rticommunity/rticonnextdds-usecases-automotive,2017-06-02 16:05,2021-02-25 16:04,automotive#rti-connext-dds#lidar#examplecode,C++,"['31075626', '3625622', '6788590']",3,6,8,autonomous-vehicle,https://github.com/rticommunity/rticonnextdds-usecases-automotive,1391.0,False,1,
2652,93431251,av,26299073,organization,matsim-eth/av,2017-06-05 17:48,2020-05-04 8:57,,Java,"['647500', '9891415', '49699333', '8777649']",4,6,5,autonomous-vehicle,https://github.com/matsim-eth/av,2578.0,False,9,
2656,93484230,cell,29186916,organization,intercellular/cell,2017-06-06 6:31,2021-03-20 18:18,,JavaScript,"['16613330', '5952481', '29382486', '1462544', '1025131', '1889710', '7334576', '16561481']",8,1524,111,self-driving,https://github.com/intercellular/cell,14052.0,False,35,
2671,93570516,TF_Rover,11051475,organization,mpcrlab/TF_Rover,2017-06-06 22:47,2020-01-20 7:54,,Jupyter Notebook,"['14337204', '2086166', '30416275']",3,6,2,autonomous-vehicle,https://github.com/mpcrlab/TF_Rover,351.0,False,1,
2689,93653043,DataQuatic,28695232,organization,PolixLab/DataQuatic,2017-06-07 15:51,2017-06-25 18:18,,Python,"['2761463', '8468431']",2,0,0,autonomous-vehicle,https://github.com/PolixLab/DataQuatic,516.0,False,6,
2723,93933291,Self-Driving-RC-Car,19749717,organization,SochInc/Self-Driving-RC-Car,2017-06-10 10:53,2021-01-07 7:24,,Python,"['9688803', '19575981']",2,9,7,self-driving,https://github.com/SochInc/Self-Driving-RC-Car,8561.0,False,0,
2796,94363114,ImmersiveDroneInterface,50220371,organization,immersive-command-system/ImmersiveDroneInterface,2017-06-14 18:50,2021-01-21 3:04,drone#drones#virtual#reality#vr#immersive#interfaces#research#unity#oculus#rift#mapping#scanning#berkeley#user-interface#user-experience,C#,"['3791462', '10901831', '29556336', '33044962', '20497688', '9257920', '47370865', '10935123', '25192204', '31398895']",10,17,16,autonomous-vehicle,https://github.com/immersive-command-system/ImmersiveDroneInterface,1160.0,False,0,
2957,95574935,self-driving-slotcar,10142835,organization,iot-salzburg/self-driving-slotcar,2017-06-27 15:45,2017-08-01 13:22,,HTML,"['13992716', '33347533', '2677628']",3,0,0,self-driving,https://github.com/iot-salzburg/self-driving-slotcar,840.0,False,0,
2994,95767548,autonomous-driving,29288214,organization,aivsol/autonomous-driving,2017-06-29 10:40,2018-11-24 11:17,,Python,"['8004953', '29272667', '29423625', '76997316', '22201902']",5,1,0,autonomous driving,https://github.com/aivsol/autonomous-driving,2463.0,False,0,
3017,95989223,autonomous_car,29824551,organization,IEEE-CS-TXST/autonomous_car,2017-07-01 21:51,2017-10-06 1:46,,Python,"['1554564', '13488895', '23298733']",3,0,0,autonomous-car,https://github.com/IEEE-CS-TXST/autonomous_car,16.0,False,8,
3065,96246170,apollo,28768304,organization,ApolloAuto/apollo,2017-07-04 19:03,2021-03-26 11:40,apollo#autonomous-vehicles#autonomous-driving#autonomy#self-driving-car,C++,"['6193298', '29311964', '1758353', '29128228', '29310664', '1587650', '8856778', '4761061', '32111357', '13139627', '4965458', '43769418', '41413582', '7351548', '29338670', '15767981', '2775888', '16967661', '20118879', '6880707', '36734411', '62049794', '3821311', '2295774', '46330097', '11523280', '15686733', '41353936', '455617', '10221190', '22042419', '11793155', '31435476', '16010828', '9418764', '32252697', '3805196', '19698454', '31580760', '7663588', '1711890', '30660185', '3348786', '23502273', '30146453', '18713054', '37354994', '30248283', '29296459', '19869555', '1460428', '6148253', '4446191', '40820001', '1504863', '1342688', '41353880', '46694471', '552937', '8507314', '17763312', '41060', '30682837', '26268394', '33148693', '13160152', '48047652', '45471004', '25364135', '30510791', '11405467', '31910237', '6082206', '30279558', '9652674', '43076687', '8714853', '7389733', '20517842', '9151884', '53300098', '13290379', '5284924', '19699928', '11858549', '23271782', '5786533', '16402620', '10419854', '16581410', '11614592', '37654046', '30509823', '6865725', '67416231', '9030654', '30464144', '6268966', '15992704', '21162228', '8610838', '1305797', '1234642', '2354387', '12722528', '13620754', '5648135', '58767480', '1274542', '38104533', '5334979', '29035419', '35939942', '28980740', '37716287', '7994895', '17324984', '9662026', '1667302', '30193005', '6881562', '26816296', '59649090', '5403300', '864995', '31306758', '33287103', '30511797', '1111545', '1378034', '10594560', '1326427', '2889216', '30770290', '18107059', '49699333', '35041468', '43549783', '7429514', '17949296', '57082128', '40455045', '22041427', '37918782', '44820381', '13495521', '7874480', '6080387', '908424', '40804660', '56238276', '48211034', '14092833', '4862909', '43328115', '25177157', '34166848', '38071371', '25732271', '25117089', '8511644', '44017740', '6082866', '41236487', '30664018', '38242373', '26222197', '3960012', '23017087', '10492164', '5734680', '48689124', '39604834', '96521', '9682893', '26019332', '1812324', '37062569', '7384993', '1870436', '6426433', '32683471', '29789591', '15953892', '34248264', '17584845', '10891471', '6321990', '35224268', '28940801', '30611718', '31522959', '8510840', '30509760', '17906154', '1913192', '15492016', '11155854', '51807211', '32948636', '2304604', '25288451', '12693806', '29299055', '76442228', '61599526', '32288614', '1515511', '42128451', '34114295', '32628167', '5771106', '6184136', '1205618', '5623867', '4536559', '12464681', '6727914', '4110995', '25683875', '3539315', '14046414', '614074', '161041', '7626394', '863426', '16610703', '2186779', '1782087', '31803241', '498899', '419088', '1220443', '1704487', '13429438', '5449064', '8631918', '2986035', '9625821', '32248945', '5388335', '1422400', '33935404', '55102643', '19630187', '67085214', '34671847', '20310377', '50477601', '8858287', '13160765', '1097183', '25345521', '1564923', '33196931', '38344610', '16727662', '7426917', '1499266', '12474260', '22424307', '8498055', '13678155', '25784834', '20849310', '4833765', '20785518', '13628399', '25653303', '21187248']",270,18072,7060,autonomous driving,https://github.com/ApolloAuto/apollo,11113.0,False,747,
3165,96978806,europilot,29064448,organization,marsauto/europilot,2017-07-12 7:33,2021-03-24 10:23,,Jupyter Notebook,"['3482660', '19329931']",2,1369,178,self-driving,https://github.com/marsauto/europilot,6007.0,False,2,
3355,97832347,AutonomousCarProject,29082905,organization,SSU-SSORA/AutonomousCarProject,2017-07-20 12:23,2017-07-20 13:03,,C++,"['20321265', '29728673', '25689849', '29721977']",4,0,3,autonomous-car,https://github.com/SSU-SSORA/AutonomousCarProject,,False,1,
3488,98526596,autorace_track,14007947,organization,ROBOTIS-GIT/autorace_track,2017-07-27 11:07,2020-08-05 20:27,autorace#autonomous-driving#autonomous-car#turtlebot3#ros#robotics-competition,,"['12839888', '17861812', '26239359', '25192757', '61770300']",5,6,0,autonomous-car,https://github.com/ROBOTIS-GIT/autorace_track,1695.0,False,1,
3596,99190536,MuonPlatform,30993050,organization,MuonPlatform/MuonPlatform,2017-08-03 4:26,2017-10-01 13:23,,C,"['15097165', '26249507']",2,0,0,autonomous-vehicle,https://github.com/MuonPlatform/MuonPlatform,3182.0,False,0,
3611,99363245,linorobot,21226473,organization,sutd-robotics/linorobot,2017-08-04 16:56,2019-03-12 1:53,robotics#ros#autonomous#agv#autonomous-vehicles#2wd,Makefile,"['20265670', '17105577', '31919569']",3,3,0,autonomous-vehicle,https://github.com/sutd-robotics/linorobot,428.0,False,0,
3670,99735826,movr_ws,25162135,organization,ATR-Lab/movr_ws,2017-08-08 21:00,2019-10-01 18:54,,CMake,"['1270302', '20867620', '1395590']",3,1,1,autonomous-vehicle,https://github.com/ATR-Lab/movr_ws,5846.0,False,0,
3752,100417935,dukes,29755123,organization,rc-dukes/dukes,2017-08-15 20:44,2021-03-16 14:31,self-driving-car#java#vertx#rc-car,Java,"['1336221', '9040483', '4464854']",3,18,2,self-driving,https://github.com/rc-dukes/dukes,5853.0,False,11,
3789,100708619,CarND-Capstone,31131756,organization,whats-in-a-name/CarND-Capstone,2017-08-18 12:11,2017-09-26 23:43,,CMake,"['1932656', '4110995', '6289523', '1033193', '641561', '25790047', '8902657', '169825']",8,0,3,self-driving,https://github.com/whats-in-a-name/CarND-Capstone,2173.0,False,2,
3844,100938971,Simple-Automated-Driving-System,31236452,organization,CEG-NUS-Projects/Simple-Automated-Driving-System,2017-08-21 9:59,2017-08-22 7:14,,C,"['20908145', '31210417']",2,0,1,automated-driving,https://github.com/CEG-NUS-Projects/Simple-Automated-Driving-System,47.0,False,0,
3887,101376753,capstone-project,31338362,organization,tokyo-drift/capstone-project,2017-08-25 7:12,2021-03-05 4:28,traffic-light#car#ros#ubuntu#self-driving-car#autonomous-vehicles#capstone#udacity,Python,"['1033193', '4421046', '24621017', '6289523', '3866405', '14296202', '7110796', '230117', '1083865', '2186145', '8902657', '169825']",12,8,7,self-driving,https://github.com/tokyo-drift/capstone-project,6936.0,False,0,
4029,102374838,self-driving-golf-cart,39220034,organization,sigmaai/self-driving-golf-cart,2017-09-04 15:17,2021-03-03 0:00,self-driving-car#behavioral-cloning#machine-learning#artificial-intelligence#convolutional-neural-networks#ros#microcontroller#autonomous-driving#autonomous-vehicles#deep-learning#carla#object-detection#semantic-segmentation#path-planning#navigation,C++,"['10865578', '15353780', '49699333']",3,147,56,self-driving,https://github.com/sigmaai/self-driving-golf-cart,4261.0,False,4,
4109,102901287,SelfDrivingCar,19844767,organization,StPaulAcademy/SelfDrivingCar,2017-09-08 20:20,2018-04-27 19:46,,Python,"['28988176', '26009395']",2,0,1,self-driving,https://github.com/StPaulAcademy/SelfDrivingCar,1244.0,False,11,
4403,104482771,Self-Driving_Car_Capstone,32199866,organization,ZhuiFengChaseWind/Self-Driving_Car_Capstone,2017-09-22 14:19,2017-11-14 15:13,,Python,"['7981324', '1033193', '4803152', '6474869', '6289523', '14296202', '1083865', '24316619', '169825', '7110796', '2186145', '4952237', '4110995', '1727540', '8902657']",15,2,7,self-driving,https://github.com/ZhuiFengChaseWind/Self-Driving_Car_Capstone,2444.0,False,0,
4496,105010897,slasher,28760935,organization,SensorsINI/slasher,2017-09-27 11:40,2020-06-05 20:06,,Python,"['939553', '10712297']",2,4,0,self-driving,https://github.com/SensorsINI/slasher,7329.0,False,0,
4898,107218081,GCS,16709217,organization,NGCP/GCS,2017-10-17 4:30,2020-05-01 15:15,ground-control-station#webpack#electron#react,TypeScript,"['13097797', '5050718', '15043280', '29471711', '32696668', '43279170', '14841510', '18635324', '25425490', '35553867', '55598798', '13342433', '26100739', '27856297', '55296820', '55296701']",16,6,7,autonomous-vehicle,https://github.com/NGCP/GCS,1756.0,False,22,
4947,107735378,MAVSS,16709217,organization,NGCP/MAVSS,2017-10-20 23:22,2019-03-22 1:39,,C++,"['14841510', '23003432']",2,0,1,autonomous-vehicle,https://github.com/NGCP/MAVSS,,False,1,
5010,108102826,carla,33029185,organization,carla-simulator/carla,2017-10-24 9:06,2021-03-26 12:53,simulator#autonomous-vehicles#autonomous-driving#research#ai#artificial-intelligence#computer-vision#deep-learning#deep-reinforcement-learning#imitation-learning#self-driving-car#ue4#unreal-engine-4#cross-platform#carla#carla-simulator#ros,C++,"['4332953', '15848712', '45967456', '7304043', '35765780', '59253112', '5548733', '4934673', '6574060', '1687423', '35625166', '9447385', '996806', '46670770', '32928804', '47461016', '44812003', '26146480', '38517452', '33029416', '46815108', '8415125', '58212725', '39989886', '230921', '2479539', '4770482', '38050983', '26405660', '12847693', '13798102', '7051231', '41889803', '8834560', '8978843', '4748753', '58979936', '8037948', '23101629', '11319360', '11298885', '14370642', '30189673', '2046694', '36468747', '5234084', '23431444', '3831847', '32880741', '15135624', '16010828', '5632515', '5296734', '54811869', '29577361', '8360698', '23171985', '528455', '7572427', '4715200', '1111940', '50079797', '13808089', '9154441', '3472525', '32534451', '771979', '970458', '13289846', '10724293', '25431723', '27142157', '12820901', '6310385', '42729372', '19256716', '5969044', '51833718', '6880272', '43279026', '104614', '5066960', '18331976', '17057603', '53092553', '52890287', '6031356', '1309820', '2663216', '16742257', '56092', '13092577', '1649525', '40424264', '1208625', '19955116']",96,5749,1711,autonomous driving,https://github.com/carla-simulator/carla,7973.0,False,319,
5108,109167714,gym-duckietown,15839756,organization,duckietown/gym-duckietown,2017-11-01 18:27,2021-03-25 15:14,openai-gym#simulator#reinforcement-learning#robot#imitation-learning,Python,"['713766', '81052', '10503729', '4822928', '22998704', '8019913', '16596299', '43799070', '175716', '11507066', '13190901', '7644438', '22630684', '10777556', '31974070', '22107104', '43972335', '4073898', '13329406', '45604569']",20,381,165,self-driving,https://github.com/duckietown/gym-duckietown,16735.0,False,25,
5147,109433734,isdc-router-planner-project,1916665,organization,udacity/isdc-router-planner-project,2017-11-03 19:14,2020-12-23 22:43,,Jupyter Notebook,"['2413650', '21979084']",2,10,14,self-driving,https://github.com/udacity/isdc-router-planner-project,546.0,False,0,
5163,109375832,opendlv.lynx,15325461,organization,chalmers-revere/opendlv.lynx,2017-11-03 9:15,2019-03-25 19:47,,CMake,"['11005330', '2297162']",2,3,1,autonomous-car,https://github.com/chalmers-revere/opendlv.lynx,311.0,False,0,
5190,109492275,opendlv.io,15325461,organization,chalmers-revere/opendlv.io,2017-11-04 12:17,2019-03-25 19:47,libcluon#cpp14#javascript#robotics#docker#docker-image#armhf#aarch64#amd64#microservices#microservice,C++,"['2297162', '11005330']",2,1,0,autonomous-vehicle,https://github.com/chalmers-revere/opendlv.io,1832.0,False,0,
5222,109646592,autonomous-vehicle-control-development,12663554,organization,CatalystCode/autonomous-vehicle-control-development,2017-11-06 4:12,2018-09-18 6:54,,Python,"['20933017', '11574694', '9614294']",3,1,1,autonomous-vehicle,https://github.com/CatalystCode/autonomous-vehicle-control-development,,False,0,
5249,109961939,Real-Self-Driving-Car,33082246,organization,unstoppables/Real-Self-Driving-Car,2017-11-08 10:34,2018-03-09 9:01,ros#python#tensorflow#self-driving-car#carla,Python,"['1033193', '25706702', '6289523', '1083865', '14296202', '169825', '4952237', '7110796', '4316306', '230117', '2186145', '4110995', '1727540', '8902657']",14,3,1,self-driving,https://github.com/unstoppables/Real-Self-Driving-Car,9867.0,False,3,
5379,110621453,aws-connected-vehicle-solution,3299148,organization,awslabs/aws-connected-vehicle-solution,2017-11-14 0:58,2021-03-13 8:04,,JavaScript,"['95346', '5711794', '7898345']",3,63,39,autonomous-vehicle,https://github.com/awslabs/aws-connected-vehicle-solution,3005.0,False,5,
5423,110944245,hackday-2017-autonomous-car,6546917,organization,by-pinja/hackday-2017-autonomous-car,2017-11-16 8:27,2019-12-12 8:48,,Python,"['12290076', '3903861', '3262898', '33715459', '2670916', '33380315', '33722774']",7,0,1,autonomous-car,https://github.com/by-pinja/hackday-2017-autonomous-car,559.0,False,0,
