node1,node2
bmj-autonomous/donkey_ai,fubarlabs/foocars
bmj-autonomous/donkey_ai,bmj-autonomous/donkey_ai
AuTURBO/auturbo_autorace2017_team_honey,AuTURBO/auturbo_autorace2017_team_honey
VapeRC/Robocar,Roboy/autonomous_driving_src
VapeRC/Robocar,Roboy/autonomous_driving
VapeRC/Robocar,VapeRC/Robocar
srmauvsoftware/alpheus,srmauvsoftware/srmauv
srmauvsoftware/alpheus,srmauvsoftware/srmauvsoftware.github.io
srmauvsoftware/alpheus,srmauvsoftware/alpheus
jayway/robocar-rally-lab,jayway/robocar-rally-lab
tsinghua-rll/VoxelNet-tensorflow,tsinghua-rll/VoxelNet-tensorflow
microsoft/AutonomousDrivingCookbook,microsoft/AutonomousDrivingCookbook
chalmers-revere/opendlv.io,se-research/video-codec-performance-for-autonomous-driving
chalmers-revere/opendlv.io,chalmers-revere/opendlv.io
chalmers-revere/opendlv.lynx,se-research/video-codec-performance-for-autonomous-driving
chalmers-revere/opendlv.lynx,chalmers-revere/opendlv.io
chalmers-revere/opendlv.lynx,chalmers-revere/opendlv.lynx
carla-simulator/carla,AuroAi/docker_tensorflow
carla-simulator/carla,waymo-research/waymo-open-dataset
carla-simulator/carla,argos-research/autonomous-driving
carla-simulator/carla,intel/ad-rss-lib
carla-simulator/carla,carla-simulator/carla
NGCP/MAVSS,NGCP/MAVSS
NGCP/GCS,NGCP/MAVSS
NGCP/GCS,NGCP/GCS
ROBOTIS-GIT/autorace_track,ROBOTIS-GIT/turtlebot3_autorace
ROBOTIS-GIT/autorace_track,ROBOTIS-GIT/autorace_track
ApolloAuto/apollo,HotzoneAuto/diamond-auto
ApolloAuto/apollo,tareeq-av/tareeqav
ApolloAuto/apollo,for-geeks/geek-car
ApolloAuto/apollo,ApolloAuto/apollo
KNR-Selfie/selfie-archive-cc-iarrc2018,KNR-Selfie/selfie_carolocup2020
KNR-Selfie/selfie-archive-cc-iarrc2018,KNR-Selfie/selfie_carolocup2019
KNR-Selfie/selfie-archive-cc-iarrc2018,KNR-Selfie/selfie-archive-cc-iarrc2018
TUM-AERIUS/Aerius,Roboy/autonomous_driving
TUM-AERIUS/Aerius,TUM-AERIUS/Aerius
microsoft/AirSim,intel-isl/OpenBot
microsoft/AirSim,zju3dv/disprcnn
microsoft/AirSim,waymo-research/waymo-open-dataset
microsoft/AirSim,microsoft/AutonomousDrivingCookbook
microsoft/AirSim,carla-simulator/carla
microsoft/AirSim,ApolloAuto/apollo
microsoft/AirSim,microsoft/AirSim
OpenSimulationInterface/open-simulation-interface,OpenSimulationInterface/open-simulation-interface
fzi-forschungszentrum-informatik/automated_driving_msgs,fzi-forschungszentrum-informatik/Lanelet2
autorope/donkeycar,MRWolves/donkeycar
autorope/donkeycar,fubarlabs/foocars
autorope/donkeycar,bmj-autonomous/donkey_ai
autorope/donkeycar,ApolloAuto/apollo
autorope/donkeycar,autorope/donkeycar
fzi-forschungszentrum-informatik/oadrive-bsd,fzi-forschungszentrum-informatik/oadrive-bsd
fzi-forschungszentrum-informatik/aadc2016,fzi-forschungszentrum-informatik/oadrive-bsd
fzi-forschungszentrum-informatik/aadc2016,fzi-forschungszentrum-informatik/aadc2016
deepdrive/deepdrive-zero,deepdrive/deepdrive-zero
ApolloAuto/apollo,MRWolves/donkeycar
microsoft/AirSim,fzi-forschungszentrum-informatik/Lanelet2
ApolloAuto/apollo,fzi-forschungszentrum-informatik/Lanelet2
tier4/AutomanTools,tier4/AutomanTools
teamsoulless/self-driving-car-sim,deepdrive/deepdrive-zero
bark-simulator/bark,bark-simulator/bark
bark-simulator/bark-ml,bark-simulator/bark-ml
tier4/AutomanTools,42-AI/42ai_autonomous_cars
amodeus-science/amod,tier4/AutomanTools
tier4/AutomanTools,Photon-Lab/LiDAR-Robo-Car
tier4/AutomanTools,Robofied/Awesome-Computer-Vision-Guide
amodeus-science/amod,amodeus-science/amod
amodeus-science/amod,42-AI/42ai_autonomous_cars
42-AI/42ai_autonomous_cars,42-AI/42ai_autonomous_cars
BeamNG/BeamNGpy,tier4/AutomanTools
amodeus-science/amod,Photon-Lab/LiDAR-Robo-Car
42-AI/42ai_autonomous_cars,Photon-Lab/LiDAR-Robo-Car
Photon-Lab/LiDAR-Robo-Car,Photon-Lab/LiDAR-Robo-Car
DolphinDSL/dolphin,tier4/AutomanTools
tier4/AutomanTools,smoke-trees/gesture-drive
amodeus-science/amod,Robofied/Awesome-Computer-Vision-Guide
amodeus-science/amod,bark-simulator/bark
Robofied/Awesome-Computer-Vision-Guide,42-AI/42ai_autonomous_cars
bark-simulator/bark,Photon-Lab/LiDAR-Robo-Car
Robofied/Awesome-Computer-Vision-Guide,Photon-Lab/LiDAR-Robo-Car
DolphinDSL/dolphin,amodeus-science/amod
bark-simulator/bark,42-AI/42ai_autonomous_cars
DolphinDSL/dolphin,42-AI/42ai_autonomous_cars
teamsoulless/self-driving-car-sim,teamsoulless/self-driving-car-sim
tier4/AutomanTools,JdeRobot/BehaviorStudio
DolphinDSL/dolphin,Photon-Lab/LiDAR-Robo-Car
Robofied/Awesome-Computer-Vision-Guide,Robofied/Awesome-Computer-Vision-Guide
continental/ecal,tier4/AutomanTools
amodeus-science/amod,BeamNG/BeamNGpy
DolphinDSL/dolphin,bark-simulator/bark
BeamNG/BeamNGpy,42-AI/42ai_autonomous_cars
tier4/AutomanTools,hyrise/Cockpit
BeamNG/BeamNGpy,Photon-Lab/LiDAR-Robo-Car
bark-simulator/bark,tier4/AutomanTools
DolphinDSL/dolphin,Robofied/Awesome-Computer-Vision-Guide
DolphinDSL/dolphin,DolphinDSL/dolphin
matsim-eth/av,tier4/AutomanTools
BeamNG/BeamNGpy,Robofied/Awesome-Computer-Vision-Guide
carla-simulator/carla,CSLDepend/AVFI
amodeus-science/amod,smoke-trees/gesture-drive
42-AI/42ai_autonomous_cars,smoke-trees/gesture-drive
bark-simulator/bark,Robofied/Awesome-Computer-Vision-Guide
smoke-trees/gesture-drive,Photon-Lab/LiDAR-Robo-Car
matsim-eth/av,amodeus-science/amod
matsim-eth/av,42-AI/42ai_autonomous_cars
matsim-eth/av,Photon-Lab/LiDAR-Robo-Car
BeamNG/BeamNGpy,BeamNG/BeamNGpy
Robofied/Awesome-Computer-Vision-Guide,smoke-trees/gesture-drive
sigmaai/self-driving-golf-cart,tier4/AutomanTools
matsim-eth/av,bark-simulator/bark
amodeus-science/amod,continental/ecal
amodeus-science/amod,JdeRobot/BehaviorStudio
DolphinDSL/dolphin,BeamNG/BeamNGpy
JdeRobot/BehaviorStudio,42-AI/42ai_autonomous_cars
continental/ecal,42-AI/42ai_autonomous_cars
JdeRobot/BehaviorStudio,Photon-Lab/LiDAR-Robo-Car
continental/ecal,Photon-Lab/LiDAR-Robo-Car
Robofied/Awesome-Computer-Vision-Guide,JdeRobot/BehaviorStudio
amodeus-science/amod,hyrise/Cockpit
sigmaai/self-driving-golf-cart,amodeus-science/amod
hyrise/Cockpit,42-AI/42ai_autonomous_cars
sigmaai/self-driving-golf-cart,42-AI/42ai_autonomous_cars
continental/ecal,Robofied/Awesome-Computer-Vision-Guide
sigmaai/self-driving-golf-cart,Photon-Lab/LiDAR-Robo-Car
BeamNG/BeamNGpy,smoke-trees/gesture-drive
BeamNG/BeamNGpy,bark-simulator/bark
hyrise/Cockpit,Photon-Lab/LiDAR-Robo-Car
DolphinDSL/dolphin,matsim-eth/av
matsim-eth/av,Robofied/Awesome-Computer-Vision-Guide
DolphinDSL/dolphin,smoke-trees/gesture-drive
Robofied/Awesome-Computer-Vision-Guide,hyrise/Cockpit
sigmaai/self-driving-golf-cart,bark-simulator/bark
BeamNG/BeamNGpy,JdeRobot/BehaviorStudio
udacity/CarND-Unscented-Kalman-Filter-Project,udacity/CarND-Unscented-Kalman-Filter-Project
DolphinDSL/dolphin,continental/ecal
smoke-trees/gesture-drive,smoke-trees/gesture-drive
DolphinDSL/dolphin,JdeRobot/BehaviorStudio
BeamNG/BeamNGpy,continental/ecal
bark-simulator/bark,smoke-trees/gesture-drive
sigmaai/self-driving-golf-cart,Robofied/Awesome-Computer-Vision-Guide
DolphinDSL/dolphin,sigmaai/self-driving-golf-cart
BeamNG/BeamNGpy,hyrise/Cockpit
udacity/CarND-Unscented-Kalman-Filter-Project,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project
DolphinDSL/dolphin,hyrise/Cockpit
joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project
matsim-eth/av,BeamNG/BeamNGpy
JdeRobot/BehaviorStudio,smoke-trees/gesture-drive
tier4/AutomanTools,IMAGINARY/ethics-vehicles
matsim-eth/av,matsim-eth/av
continental/ecal,smoke-trees/gesture-drive
bark-simulator/bark,continental/ecal
JdeRobot/BehaviorStudio,JdeRobot/BehaviorStudio
bark-simulator/bark,JdeRobot/BehaviorStudio
sigmaai/self-driving-golf-cart,BeamNG/BeamNGpy
matsim-eth/av,smoke-trees/gesture-drive
hyrise/Cockpit,smoke-trees/gesture-drive
tier4/AutomanTools,cv-core/MIT-Driverless-CV-TrainingInfra
continental/ecal,JdeRobot/BehaviorStudio
continental/ecal,continental/ecal
bark-simulator/bark,hyrise/Cockpit
JdeRobot/BehaviorStudio,hyrise/Cockpit
continental/ecal,hyrise/Cockpit
matsim-eth/av,continental/ecal
amodeus-science/amod,IMAGINARY/ethics-vehicles
matsim-eth/av,JdeRobot/BehaviorStudio
tier4/AutomanTools,tier4/AutowareArchitectureProposal.proj
sigmaai/self-driving-golf-cart,smoke-trees/gesture-drive
matsim-eth/av,sigmaai/self-driving-golf-cart
IMAGINARY/ethics-vehicles,42-AI/42ai_autonomous_cars
hyrise/Cockpit,hyrise/Cockpit
IMAGINARY/ethics-vehicles,Photon-Lab/LiDAR-Robo-Car
autorope/donkeycar,jayway/robocar-rally-lab
OpenSimulationInterface/open-simulation-interface,MRWolves/donkeycar
matsim-eth/av,hyrise/Cockpit
sigmaai/self-driving-golf-cart,continental/ecal
Robofied/Awesome-Computer-Vision-Guide,IMAGINARY/ethics-vehicles
sigmaai/self-driving-golf-cart,JdeRobot/BehaviorStudio
sigmaai/self-driving-golf-cart,sigmaai/self-driving-golf-cart
amodeus-science/amod,cv-core/MIT-Driverless-CV-TrainingInfra
cv-core/MIT-Driverless-CV-TrainingInfra,42-AI/42ai_autonomous_cars
tier4/AutowareArchitectureProposal.proj,tier4/AutowareArchitectureProposal.proj
CivicTechVancouver/civic-tech-yvr-16,tier4/AutomanTools
cv-core/MIT-Driverless-CV-TrainingInfra,Photon-Lab/LiDAR-Robo-Car
sigmaai/self-driving-golf-cart,hyrise/Cockpit
DolphinDSL/dolphin,IMAGINARY/ethics-vehicles
cv-core/MIT-Driverless-CV-TrainingInfra,Robofied/Awesome-Computer-Vision-Guide
BeamNG/BeamNGpy,IMAGINARY/ethics-vehicles
bark-simulator/bark,IMAGINARY/ethics-vehicles
deepdrive/deepdrive,deepdrive/deepdrive
udacity/CarND-Extended-Kalman-Filter-Project,udacity/CarND-Unscented-Kalman-Filter-Project
fzi-forschungszentrum-informatik/automated_driving_msgs,fzi-forschungszentrum-informatik/automated_driving_msgs
DolphinDSL/dolphin,cv-core/MIT-Driverless-CV-TrainingInfra
udacity/self-driving-car-sim,udacity/CarND-Unscented-Kalman-Filter-Project
joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project,TeamDoernbach/SDCNanodegreeCapstone
udacity/self-driving-car-sim,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project
udacity/CarND-Unscented-Kalman-Filter-Project,TeamDoernbach/SDCNanodegreeCapstone
BeamNG/BeamNGpy,cv-core/MIT-Driverless-CV-TrainingInfra
udacity/CarND-Extended-Kalman-Filter-Project,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project
IMAGINARY/ethics-vehicles,smoke-trees/gesture-drive
bark-simulator/bark,cv-core/MIT-Driverless-CV-TrainingInfra
CivicTechVancouver/civic-tech-yvr-16,Photon-Lab/LiDAR-Robo-Car
udacity/CarND-Unscented-Kalman-Filter-Project,unstoppables/Real-Self-Driving-Car
amodeus-science/amod,CivicTechVancouver/civic-tech-yvr-16
CivicTechVancouver/civic-tech-yvr-16,42-AI/42ai_autonomous_cars
CivicTechVancouver/civic-tech-yvr-16,Robofied/Awesome-Computer-Vision-Guide
continental/ecal,IMAGINARY/ethics-vehicles
unstoppables/Real-Self-Driving-Car,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project
JdeRobot/BehaviorStudio,IMAGINARY/ethics-vehicles
cv-core/MIT-Driverless-CV-TrainingInfra,smoke-trees/gesture-drive
matsim-eth/av,IMAGINARY/ethics-vehicles
IMAGINARY/ethics-vehicles,hyrise/Cockpit
udacity/CarND-Unscented-Kalman-Filter-Project,udacity-om/CarND-Capstone
BeamNG/BeamNGpy,CivicTechVancouver/civic-tech-yvr-16
cv-core/MIT-Driverless-CV-TrainingInfra,JdeRobot/BehaviorStudio
continental/ecal,cv-core/MIT-Driverless-CV-TrainingInfra
sigmaai/self-driving-golf-cart,IMAGINARY/ethics-vehicles
matsim-eth/av,cv-core/MIT-Driverless-CV-TrainingInfra
cv-core/MIT-Driverless-CV-TrainingInfra,hyrise/Cockpit
DolphinDSL/dolphin,CivicTechVancouver/civic-tech-yvr-16
CivicTechVancouver/civic-tech-yvr-16,bark-simulator/bark
CivicTechVancouver/civic-tech-yvr-16,smoke-trees/gesture-drive
udacity/CarND-Extended-Kalman-Filter-Project,udacity/CarND-Extended-Kalman-Filter-Project
ApolloAuto/apollo,lgsvl/simulator
sigmaai/self-driving-golf-cart,cv-core/MIT-Driverless-CV-TrainingInfra
joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project,udacity-om/CarND-Capstone
TeamDoernbach/SDCNanodegreeCapstone,TeamDoernbach/SDCNanodegreeCapstone
deepdrive/deepdrive,bark-simulator/bark
CivicTechVancouver/civic-tech-yvr-16,JdeRobot/BehaviorStudio
udacity/self-driving-car-sim,TeamDoernbach/SDCNanodegreeCapstone
CivicTechVancouver/civic-tech-yvr-16,continental/ecal
udacity/self-driving-car-sim,udacity/self-driving-car-sim
matsim-eth/av,CivicTechVancouver/civic-tech-yvr-16
udacity/CarND-Unscented-Kalman-Filter-Project,bedlamite5/CarND-Capstone
CivicTechVancouver/civic-tech-yvr-16,hyrise/Cockpit
udacity/CarND-Extended-Kalman-Filter-Project,unstoppables/Real-Self-Driving-Car
udacity/CarND-Extended-Kalman-Filter-Project,TeamDoernbach/SDCNanodegreeCapstone
udacity/self-driving-car-sim,udacity/CarND-Extended-Kalman-Filter-Project
deepdrive/deepdrive,42-AI/42ai_autonomous_cars
IMAGINARY/ethics-vehicles,IMAGINARY/ethics-vehicles
unstoppables/Real-Self-Driving-Car,unstoppables/Real-Self-Driving-Car
DolphinDSL/dolphin,deepdrive/deepdrive
deepdrive/deepdrive,amodeus-science/amod
sigmaai/self-driving-golf-cart,CivicTechVancouver/civic-tech-yvr-16
deepdrive/deepdrive,Photon-Lab/LiDAR-Robo-Car
udacity/CarND-Unscented-Kalman-Filter-Project,tokyo-drift/capstone-project
ApolloAuto/apollo,carla-simulator/carla
udacity/self-driving-car-sim,unstoppables/Real-Self-Driving-Car
udacity/CarND-Extended-Kalman-Filter-Project,udacity-om/CarND-Capstone
cv-core/MIT-Driverless-CV-TrainingInfra,IMAGINARY/ethics-vehicles
bedlamite5/CarND-Capstone,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project
unstoppables/Real-Self-Driving-Car,TeamDoernbach/SDCNanodegreeCapstone
bark-simulator/bark,bark-simulator/bark-ml
udacity/CarND-Unscented-Kalman-Filter-Project,TeamPerceptronics/Capstone
jayway/robocar-rally-lab,MRWolves/donkeycar
TeamDoernbach/SDCNanodegreeCapstone,udacity-om/CarND-Capstone
cv-core/MIT-Driverless-CV-TrainingInfra,cv-core/MIT-Driverless-CV-TrainingInfra
deepdrive/deepdrive,tier4/AutomanTools
udacity-om/CarND-Capstone,udacity-om/CarND-Capstone
udacity/self-driving-car-sim,udacity-om/CarND-Capstone
udacity/CarND-Unscented-Kalman-Filter-Project,whats-in-a-name/CarND-Capstone
AuTURBO/autorace2017-team-loading,AuTURBO/auturbo_autorace2017_team_honey
tokyo-drift/capstone-project,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project
matsim-eth/av,deepdrive/deepdrive
bedlamite5/CarND-Capstone,bedlamite5/CarND-Capstone
joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project,TeamPerceptronics/Capstone
udacity/CarND-Unscented-Kalman-Filter-Project,ZhuiFengChaseWind/Self-Driving_Car_Capstone
udacity/CarND-Extended-Kalman-Filter-Project,bedlamite5/CarND-Capstone
unstoppables/Real-Self-Driving-Car,udacity-om/CarND-Capstone
CivicTechVancouver/civic-tech-yvr-16,IMAGINARY/ethics-vehicles
unstoppables/Real-Self-Driving-Car,bedlamite5/CarND-Capstone
udacity/CarND-Unscented-Kalman-Filter-Project,teamsoulless/self-driving-car-sim
sigmaai/self-driving-golf-cart,deepdrive/deepdrive
whats-in-a-name/CarND-Capstone,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project
CivicTechVancouver/civic-tech-yvr-16,cv-core/MIT-Driverless-CV-TrainingInfra
